number,throttle,steer
1,0,80
2,0,90
3,0,90
4,0,80
5,0,90
6,0,80
7,0,90
8,0,90
9,0,90
10,0,90
11,0,100
12,0,100
13,0,90
14,0,90
15,0,90
16,0,90
17,0,90
18,0,90
19,0,80
20,0,80
21,0,80
22,0,90
23,0,90
24,0,90
25,0,90
26,0,90
27,0,90
28,0,90
29,0,80
30,0,80
31,0,80
32,0,80
33,0,90
34,0,90
35,0,90
36,0,90
37,0,90
38,0,90
39,0,80
40,0,80
41,0,80
42,0,80
43,0,80
44,0,90
45,0,90
46,0,90
47,0,90
48,0,90
49,0,90
50,0,90
51,0,80
52,0,80
53,0,80
54,0,90
55,0,90
56,0,90
57,0,90
58,0,90
59,0,90
60,0,90
61,0,80
62,0,80
63,0,80
64,18,80
65,18,70
66,25,70
67,27,70
68,27,60
69,27,60
70,27,60
71,27,70
72,24,80
73,25,90
74,31,100
75,31,100
76,31,100
77,31,100
78,29,100
79,29,100
80,25,100
81,22,90
82,16,90
83,14,90
84,12,90
85,11,90
86,0,90
87,11,80
88,14,90
89,14,80
90,14,80
91,14,80
92,14,80
93,14,80
94,14,80
95,14,80
96,14,80
97,14,80
98,18,80
99,24,90
100,25,90
101,25,90
102,25,90
103,25,90
104,25,80
105,25,90
106,25,80
107,25,80
108,24,80
109,31,90
110,31,90
111,29,80
112,29,90
113,25,80
114,31,80
115,29,80
116,27,80
117,25,80
118,33,90
119,25,80
120,24,80
121,31,90
122,33,90
123,31,90
124,29,80
125,27,80
126,29,80
127,27,80
128,25,80
129,24,80
130,25,80
131,22,80
132,24,80
133,25,90
134,24,90
135,24,80
136,24,70
137,24,70
138,22,70
139,20,70
140,20,80
141,20,80
142,25,80
143,24,90
144,25,90
145,25,90
146,24,90
147,22,90
148,22,90
149,20,90
150,22,90
151,24,90
152,27,100
153,20,100
154,27,110
155,27,120
156,25,130
157,25,130
158,24,120
159,22,110
160,22,90
161,22,70
162,20,70
163,20,60
164,25,60
165,25,70
166,25,70
167,25,80
168,25,80
169,24,90
170,24,90
171,24,90
172,24,90
173,22,90
174,24,90
175,25,100
176,29,100
177,31,100
178,29,100
179,27,90
180,29,100
181,25,100
182,25,110
183,25,120
184,33,120
185,25,110
186,29,110
187,35,100
188,33,80
189,31,70
190,31,80
191,29,80
192,29,90
193,25,90
194,33,90
195,27,90
196,29,90
197,29,110
198,33,120
199,31,120
200,31,110
201,31,110
202,29,100
203,29,100
204,27,70
205,25,70
206,24,80
207,20,80
208,20,80
209,20,90
210,20,90
211,14,90
212,18,90
213,18,90
214,16,80
215,14,70
216,16,80
217,22,80
218,22,80
219,25,90
220,25,100
221,25,110
222,25,110
223,25,100
224,25,100
225,25,90
226,24,80
227,24,60
228,24,40
229,29,40
230,24,30
231,18,20
232,12,20
233,0,20
234,0,40
235,0,50
236,0,60
237,0,60
238,0,70
239,0,70
240,0,70
241,0,80
242,0,80
243,0,80
244,0,80
245,0,80
246,0,80
247,0,80
248,0,80
249,0,80
250,0,80
251,0,80
252,0,90
253,0,90
254,0,90
255,0,90
256,0,90
257,0,90
258,0,90
259,0,80
260,0,80
261,0,80
262,0,80
263,0,90
264,0,90
265,0,90
266,0,90
267,0,90
